,A_feat-3-useful,A_feat-1-useful,A_feat-2-useful,A_feat-4-useful,A_feat-5-useful,A_feat-18-repeated,A_feat-14-repeated,A_feat-12-repeated,A_feat-16-repeated,A_feat-13-repeated,A_feat-20-repeated,A_feat-19-repeated,A_feat-17-repeated,A_feat-15-repeated,A_feat-11-repeated,A_feat-8-redundant,A_feat-9-redundant,A_feat-7-redundant,A_feat-6-redundant
T0,0.499499499499,0.488488488488,0.523523523524,0.515515515516,0.612612612613,0.486486486486,0.528528528529,0.483483483483,0.386386386386,0.594594594595,0.405405405405,0.389389389389,0.516516516517,0.583583583584,0.496496496496,0.359359359359,0.353353353353,0.488488488488,0.405405405405
T1,0.432432432432,0.428428428428,0.45045045045,0.45045045045,0.436436436436,0.468468468468,0.401401401401,0.426426426426,0.446446446446,0.409409409409,0.565565565566,0.505505505506,0.425425425425,0.462462462462,0.469469469469,0.61961961962,0.657657657658,0.47047047047,0.47047047047
T2,0.468468468468,0.427427427427,0.436436436436,0.627627627628,0.482482482482,0.469469469469,0.394394394394,0.464464464464,0.560560560561,0.247247247247,0.505505505506,0.347347347347,0.435435435435,0.496496496496,0.466466466466,0.661661661662,0.538538538539,0.46046046046,0.562562562563
T3,0.443443443443,0.466466466466,0.453453453453,0.431431431431,0.521521521522,0.472472472472,0.48048048048,0.43043043043,0.381381381381,0.491491491491,0.517517517518,0.503503503504,0.482482482482,0.526526526527,0.471471471471,0.499499499499,0.568568568569,0.478478478478,0.409409409409
T4,0.546546546547,0.513513513514,0.514514514515,0.475475475475,0.323323323323,0.484484484484,0.562562562563,0.520520520521,0.636636636637,0.545545545546,0.500500500501,0.664664664665,0.54954954955,0.39039039039,0.49049049049,0.53953953954,0.527527527528,0.484484484484,0.622622622623
T5,0.478478478478,0.462462462462,0.473473473473,0.547547547548,0.575575575576,0.475475475475,0.466466466466,0.471471471471,0.42042042042,0.438438438438,0.452452452452,0.341341341341,0.473473473473,0.581581581582,0.476476476476,0.485485485485,0.438438438438,0.474474474474,0.448448448448
T6,0.425425425425,0.45045045045,0.478478478478,0.428428428428,0.568568568569,0.476476476476,0.448448448448,0.434434434434,0.286286286286,0.540540540541,0.495495495495,0.438438438438,0.46046046046,0.565565565566,0.478478478478,0.465465465465,0.531531531532,0.482482482482,0.348348348348
T7,0.388388388388,0.493493493493,0.535535535536,0.451451451451,0.481481481481,0.491491491491,0.525525525526,0.399399399399,0.417417417417,0.523523523524,0.458458458458,0.488488488488,0.516516516517,0.496496496496,0.499499499499,0.435435435435,0.447447447447,0.48048048048,0.444444444444
T8,0.394394394394,0.428428428428,0.530530530531,0.469469469469,0.459459459459,0.488488488488,0.407407407407,0.422422422422,0.433433433433,0.454454454454,0.494494494494,0.425425425425,0.428428428428,0.479479479479,0.494494494494,0.550550550551,0.512512512513,0.475475475475,0.452452452452
T9,0.542542542543,0.473473473473,0.476476476476,0.369369369369,0.601601601602,0.476476476476,0.49049049049,0.518518518519,0.295295295295,0.743743743744,0.49049049049,0.571571571572,0.492492492492,0.572572572573,0.478478478478,0.391391391391,0.514514514515,0.500500500501,0.32032032032
T10,0.477477477477,0.438438438438,0.468468468468,0.534534534535,0.583583583584,0.474474474474,0.406406406406,0.47047047047,0.372372372372,0.46046046046,0.473473473473,0.364364364364,0.435435435435,0.561561561562,0.475475475475,0.514514514515,0.479479479479,0.476476476476,0.413413413413
T11,0.553553553554,0.444444444444,0.51951951952,0.383383383383,0.537537537538,0.485485485485,0.436436436436,0.527527527528,0.347347347347,0.763763763764,0.474474474474,0.513513513514,0.453453453453,0.540540540541,0.491491491491,0.431431431431,0.483483483483,0.506506506507,0.365365365365
T12,0.454454454454,0.510510510511,0.48048048048,0.555555555556,0.439439439439,0.476476476476,0.563563563564,0.453453453453,0.574574574575,0.381381381381,0.48048048048,0.514514514515,0.548548548549,0.468468468468,0.479479479479,0.503503503504,0.494494494494,0.47047047047,0.55955955956
T13,0.586586586587,0.540540540541,0.489489489489,0.45045045045,0.405405405405,0.478478478478,0.587587587588,0.554554554555,0.574574574575,0.635635635636,0.486486486486,0.678678678679,0.574574574575,0.45045045045,0.48048048048,0.457457457457,0.511511511512,0.49049049049,0.551551551552
T14,0.521521521522,0.568568568569,0.433433433433,0.547547547548,0.57957957958,0.469469469469,0.698698698699,0.506506506507,0.462462462462,0.511511511512,0.442442442442,0.502502502503,0.627627627628,0.586586586587,0.465465465465,0.364364364364,0.401401401401,0.481481481481,0.482482482482
T15,0.453453453453,0.527527527528,0.443443443443,0.336336336336,0.597597597598,0.47047047047,0.571571571572,0.451451451451,0.259259259259,0.676676676677,0.501501501502,0.598598598599,0.55955955956,0.57957957958,0.468468468468,0.337337337337,0.533533533534,0.492492492492,0.302302302302
T16,0.53953953954,0.497497497497,0.475475475475,0.621621621622,0.39039039039,0.475475475475,0.541541541542,0.522522522523,0.707707707708,0.332332332332,0.475475475475,0.472472472472,0.52952952953,0.433433433433,0.477477477477,0.597597597598,0.485485485485,0.466466466466,0.713713713714
T17,0.449449449449,0.41041041041,0.448448448448,0.415415415415,0.404404404404,0.469469469469,0.36036036036,0.451451451451,0.449449449449,0.441441441441,0.577577577578,0.565565565566,0.39039039039,0.437437437437,0.467467467467,0.672672672673,0.698698698699,0.473473473473,0.474474474474
T18,0.438438438438,0.51951951952,0.537537537538,0.56956956957,0.616616616617,0.487487487487,0.575575575576,0.44044044044,0.406406406406,0.517517517518,0.383383383383,0.356356356356,0.551551551552,0.582582582583,0.495495495495,0.346346346346,0.319319319319,0.481481481481,0.43043043043
T19,0.532532532533,0.451451451451,0.543543543544,0.596596596597,0.574574574575,0.487487487487,0.43043043043,0.514514514515,0.464464464464,0.535535535536,0.394394394394,0.277277277277,0.452452452452,0.560560560561,0.496496496496,0.469469469469,0.344344344344,0.481481481481,0.485485485485
T20,0.489489489489,0.552552552553,0.402402402402,0.436436436436,0.379379379379,0.464464464464,0.58958958959,0.481481481481,0.558558558559,0.47047047047,0.56956956957,0.716716716717,0.567567567568,0.418418418418,0.455455455455,0.525525525526,0.676676676677,0.476476476476,0.574574574575
T21,0.557557557558,0.540540540541,0.537537537538,0.439439439439,0.43043043043,0.489489489489,0.604604604605,0.543543543544,0.541541541542,0.684684684685,0.457457457457,0.626626626627,0.566566566567,0.453453453453,0.497497497497,0.4004004004,0.448448448448,0.498498498498,0.540540540541
T22,0.548548548549,0.502502502503,0.550550550551,0.576576576577,0.389389389389,0.49049049049,0.543543543544,0.524524524525,0.643643643644,0.504504504505,0.437437437437,0.488488488488,0.53953953954,0.436436436436,0.499499499499,0.50950950951,0.395395395395,0.479479479479,0.658658658659
T23,0.445445445445,0.494494494494,0.453453453453,0.58958958959,0.541541541542,0.471471471471,0.527527527528,0.442442442442,0.482482482482,0.344344344344,0.459459459459,0.37037037037,0.515515515516,0.547547547548,0.472472472472,0.500500500501,0.445445445445,0.464464464464,0.500500500501
T24,0.446446446446,0.428428428428,0.537537537538,0.398398398398,0.555555555556,0.486486486486,0.404404404404,0.448448448448,0.262262262262,0.641641641642,0.467467467467,0.417417417417,0.435435435435,0.558558558559,0.496496496496,0.433433433433,0.468468468468,0.491491491491,0.34034034034
T25,0.53953953954,0.51951951952,0.464464464464,0.41041041041,0.385385385385,0.473473473473,0.578578578579,0.520520520521,0.535535535536,0.585585585586,0.533533533534,0.713713713714,0.553553553554,0.422422422422,0.474474474474,0.506506506507,0.58958958959,0.489489489489,0.551551551552
T26,0.530530530531,0.511511511512,0.548548548549,0.426426426426,0.439439439439,0.493493493493,0.555555555556,0.511511511512,0.498498498498,0.718718718719,0.461461461461,0.631631631632,0.546546546547,0.461461461461,0.501501501502,0.415415415415,0.452452452452,0.498498498498,0.516516516517
T27,0.437437437437,0.545545545546,0.516516516517,0.43043043043,0.398398398398,0.484484484484,0.627627627628,0.438438438438,0.51951951952,0.542542542543,0.489489489489,0.690690690691,0.600600600601,0.433433433433,0.491491491491,0.444444444444,0.517517517518,0.481481481481,0.530530530531
T28,0.514514514515,0.518518518519,0.546546546547,0.315315315315,0.353353353353,0.49049049049,0.58958958959,0.498498498498,0.515515515516,0.780780780781,0.507507507508,0.748748748749,0.546546546547,0.396396396396,0.502502502503,0.455455455455,0.553553553554,0.500500500501,0.528528528529
T29,0.467467467467,0.492492492492,0.463463463463,0.537537537538,0.433433433433,0.473473473473,0.536536536537,0.463463463463,0.575575575576,0.395395395395,0.502502502503,0.513513513514,0.514514514515,0.454454454454,0.474474474474,0.557557557558,0.548548548549,0.468468468468,0.567567567568
