dataset/algo,abalone,anneal,arrhythmia,audiology,autos,balance-scale,baseball,braziltourism,breast-cancer,breast-w,bridges_version1,bridges_version2,car,cmc,colic,colic.ORIG,credit-a,credit-g,cylinder-bands,dermatology,diabetes,ecoli,glass,haberman,hayes-roth_test,hayes-roth_train,heart-c,heart-h,heart-statlog,hepatitis,hypothyroid,ionosphere,iris,kr-vs-kp,kropt,labor,letter,liver-disorders,lung-cancer,lymph,molecular-biology_promoters,monks-problems-1_test,monks-problems-1_train,monks-problems-2_test,monks-problems-2_train,monks-problems-3_test,monks-problems-3_train,mushroom,nursery,optdigits,page-blocks,pendigits,postoperative-patient-data,primary-tumor,satimage,segment,shuttle-landing-control,sick,solar-flare_1,solar-flare_2,sonar,soybean,spambase,spectf_test,spectf_train,spect_test,spect_train,splice,tae,tic-tac-toe,vehicle,vote,vowel,waveform-5000,yeast,zoo
AttributeSelectedClassifier,0.199425,0.97049,0.672566,0.772124,0.77561,0.7688,0.924627,0.76699,0.732517,0.941345,0.552381,0.576191,0.922743,0.548541,0.802989,0.663043,0.85,0.731,0.572223,0.938524,0.753255,0.830357,0.696262,0.714052,0.714286,0.80303,0.768977,0.784014,0.814815,0.809677,0.973489,0.897436,0.956666,0.940394,0.565833,0.798246,0.882,0.614493,0.625,0.753379,0.839623,0.75,0.717742,0.671296,0.621302,1,0.934426,0.990153,0.965316,0.907652,0.970949,0.963519,0.711111,0.383481,0.861275,0.967965,0.6,0.974815,0.724458,0.745779,0.73798,0.903367,0.925994,0.762082,0.7,0.919786,0.65,0.944827,0.470199,0.776096,0.673168,0.957472,0.788384,0.7754,0.576819,0.935643
ClassificationViaRegression,0.258559,0.986637,0.684734,0.774337,0.77561,0.8808,0.906716,0.779126,0.708042,0.958512,0.419048,0.419048,0.964989,0.54277,0.841033,0.585598,0.856521,0.7485,0.68426,0.968579,0.759766,0.857143,0.707944,0.732026,0.482143,0.693182,0.823432,0.828231,0.80926,0.812903,0.994035,0.898861,0.946667,0.992178,0.742622,0.850877,0.91125,0.707246,0.34375,0.804054,0.471698,0.946759,0.91129,0.888889,0.56213,1,0.92623,0.999815,0.995409,0.954537,0.973507,0.979758,0.688889,0.451327,0.780241,0.973161,0.533333,0.984491,0.708978,0.752345,0.802885,0.935578,0.929363,0.773234,0.725,0.919786,0.75,0.766595,0.523179,0.942067,0.787234,0.956322,0.812626,0.8263,0.610512,0.425743
ConjunctiveRule,0.208591,0.773335,0.538516,0.464602,0.44745,0.625091,0.906254,0.769764,0.682931,0.916114,0.570563,0.571429,0.700231,0.426773,0.813365,0.772604,0.855072,0.7,0.645791,0.498882,0.700166,0.644751,0.445837,0.733957,0.543831,0.448347,0.734173,0.784941,0.712963,0.78739,0.96768,0.817276,0.666667,0.660513,0.192423,0.763158,0.070325,0.564032,0.409226,0.71683,0.764151,0.75,0.733871,0.671296,0.620175,0.771715,0.75566,0.886755,0.6625,0.199118,0.92914,0.204004,0.711111,0.286136,0.436236,0.28534,0.55873,0.977646,0.470441,0.534709,0.704983,0.262611,0.807562,0.795539,0.660714,0.919786,0.616667,0.623824,0.361529,0.697002,0.412207,0.950366,0.174564,0.572218,0.406045,0.60126
CVParameterSelection,0.164951,0.761693,0.542035,0.252212,0.326829,0.4576,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.35514,0.735294,0.5,0.378788,0.544554,0.639456,0.555556,0.793548,0.922853,0.641026,0.333333,0.522215,0.162283,0.649123,0.04065,0.57971,0.40625,0.547297,0.471698,0.490741,0.483871,0.671296,0.621302,0.527778,0.508197,0.517971,0.333333,0.101423,0.89768,0.103712,0.711111,0.247788,0.238103,0.142857,0.6,0.938759,0.272446,0.310507,0.533654,0.1347,0.605955,0.795539,0.5,0.919786,0.5,0.518809,0.344371,0.653445,0.256501,0.613793,0.090909,0.3384,0.311995,0.405941
DecisionStump,0.209959,0.771715,0.563053,0.464602,0.44878,0.572,0.906716,0.771845,0.702798,0.924177,0.571429,0.571429,0.700231,0.42702,0.815217,0.788043,0.855072,0.7,0.687963,0.502732,0.715495,0.645833,0.448598,0.727124,0.5,0.409091,0.724422,0.809524,0.703703,0.767742,0.953871,0.826211,0.666667,0.660513,0.18873,0.789474,0.0709,0.592754,0.4375,0.756757,0.707547,0.75,0.733871,0.671296,0.609467,0.756944,0.762295,0.886755,0.6625,0.197331,0.931299,0.20374,0.7,0.289086,0.437947,0.285498,0.8,0.965536,0.467492,0.534709,0.721153,0.279649,0.782982,0.795539,0.675,0.919786,0.7,0.623824,0.377483,0.699374,0.397163,0.956322,0.175253,0.569,0.407008,0.60396
DecisionTable,0.25808,0.987751,0.685841,0.747788,0.790244,0.7448,0.922388,0.764563,0.730769,0.949928,0.619047,0.585714,0.940105,0.541752,0.82337,0.820652,0.851449,0.7245,0.667593,0.898907,0.733724,0.787202,0.693926,0.743464,0.482143,0.606061,0.783828,0.792517,0.838889,0.793548,0.994433,0.896012,0.926667,0.977003,0.493014,0.789474,0.717375,0.589856,0.625,0.722973,0.783019,1,0.975806,0.671296,0.60355,1,0.934426,1,0.947531,0.643861,0.962178,0.786299,0.694445,0.40708,0.832037,0.924675,0.4,0.976538,0.690402,0.756098,0.725962,0.863836,0.913931,0.780669,0.65,0.919786,0.675,0.930251,0.470199,0.791232,0.665484,0.949425,0.726768,0.7337,0.549191,0.905941
Decorate,0.228815,0.98608,0.676287,0.828238,0.842572,0.800436,0.930313,0.723648,0.715512,0.960138,0.6,0.588745,0.932607,0.500771,0.843256,0.66329,0.859025,0.724,0.607407,0.977894,0.739998,0.862554,0.708581,0.719251,0.586039,0.797521,0.790429,0.797774,0.787542,0.830205,0.963126,0.917508,0.94697,0.990457,0.618435,0.857257,0.916932,0.686166,0.479167,0.789619,0.807727,0.994599,0.891321,0.56875,0.558749,0.99989,0.887198,1,0.973499,0.944193,0.972476,0.975147,0.626263,0.440652,0.780241,0.977981,0.631746,0.960235,0.690697,0.683385,0.813156,0.937974,0.940734,0.770756,0.759524,0.863509,0.714286,0.939954,0.620711,0.931534,0.755588,0.946813,0.956841,0.786218,0.563118,0.925742
FilteredClassifier,0.251616,0.984966,0.681416,0.778761,0.760975,0.704,0.928358,0.771845,0.743007,0.944206,0.585715,0.547619,0.922743,0.502715,0.850543,0.663043,0.860869,0.718,0.600926,0.938524,0.738281,0.800595,0.698598,0.72549,0.5,0.606061,0.775577,0.80102,0.811112,0.829032,0.992975,0.908832,0.933333,0.994055,0.565833,0.763158,0.787375,0.575363,0.5,0.79054,0.811321,0.965278,0.822581,0.671296,0.56213,1,0.934426,1,0.970834,0.78532,0.965741,0.889192,0.7,0.39823,0.780241,0.944589,0.6,0.979056,0.721362,0.744841,0.754808,0.914349,0.926211,0.762082,0.75,0.919786,0.6875,0.942006,0.470199,0.848643,0.70922,0.964367,0.770202,0.7503,0.570081,0.920792
HyperPipes,0.043572,0.978842,0.628318,0.665929,0.641463,0.4608,0.929105,0.771845,0.699301,0.88412,0.566667,0.519048,0.700231,0.42702,0.620924,0.702446,0.445653,0.699,0.781482,0.924864,0.654948,0.717262,0.516356,0.730392,0.5,0.613636,0.557756,0.656463,0.564815,0.638709,0.932927,0.358974,0.91,0.540989,0.099658,0.877193,0.22245,0.453623,0.53125,0.581081,0.641509,0.75,0.733871,0.671296,0.621302,0.472222,0.508197,0.997661,0.624383,0.327046,0.91385,0.138873,0.7,0.247788,0.477916,0.753896,0.733333,0.938494,0.684211,0.586304,0.574519,0.86164,0.638775,0.821561,0.7625,0.550802,0.6125,0.419906,0.400662,0.346555,0.326832,0.613793,0.367172,0.4609,0.327493,0.950495
IB1,0.205411,0.991091,0.530974,0.743362,0.756098,0.7848,0.919403,0.660194,0.683566,0.95279,0.633333,0.552381,0.773148,0.439918,0.802989,0.641304,0.819565,0.717,0.743519,0.942623,0.701172,0.802083,0.707943,0.656863,0.517857,0.776515,0.764026,0.773809,0.744444,0.812903,0.914236,0.870371,0.956666,0.901596,0.377673,0.815789,0.95925,0.627537,0.40625,0.820946,0.839623,0.724537,0.725806,0.553241,0.550296,0.798611,0.770492,1,0.788155,0.986388,0.95962,0.99386,0.577778,0.336283,0.904821,0.972078,0.6,0.961957,0.662539,0.681989,0.865385,0.896047,0.908172,0.717472,0.675,0.877005,0.5375,0.7558,0.615894,0.814196,0.695035,0.927586,0.992929,0.7371,0.522911,0.965346
