iteration , time , norm(U) , norm(M) , norm(A) , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@1 , train-NDCG@1 , test-rmse , train-rmse , 
1 , 0.00011 , 13.0169 , 8.54985 , -1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -nan , -0.00703125 , 3.24162 , 2.96661 , 
2 , 0.050139 , 5.86337 , 6.09729 , -1 , 60.4669 , 14.0913 , 5 , 5.86337 , 0.663667 , 5 , 6.09729 , -nan , 0.945886 , 0.201752 , 0.217138 , 
3 , 0.087376 , 6.06493 , 6.14044 , -1 , 61.4383 , 0.465145 , 5 , 6.06493 , 0.411371 , 5 , 6.14044 , -nan , 0.963354 , 0.162635 , 0.144652 , 
4 , 0.112811 , 5.99029 , 6.12858 , -1 , 61.0542 , 0.46753 , 5 , 5.99029 , 0.459913 , 5 , 6.12858 , -nan , 0.972057 , 0.161768 , 0.152949 , 
5 , 0.133529 , 5.95589 , 6.14028 , -1 , 60.9693 , 0.493798 , 5 , 5.95589 , 0.48842 , 5 , 6.14028 , -nan , 0.970895 , 0.154305 , 0.157618 , 
6 , 0.151207 , 5.98435 , 6.1893 , -1 , 61.3856 , 0.468014 , 5 , 5.98435 , 0.517353 , 5 , 6.1893 , -nan , 0.948688 , 0.167234 , 0.162219 , 
7 , 0.177918 , 5.96008 , 6.15887 , -1 , 61.0341 , 0.476999 , 5 , 5.96008 , 0.439335 , 5 , 6.15887 , -nan , 0.959312 , 0.164961 , 0.149488 , 
8 , 0.199741 , 5.98773 , 6.07092 , -1 , 60.8018 , 0.470208 , 5 , 5.98773 , 0.508543 , 5 , 6.07092 , -nan , 0.966853 , 0.158974 , 0.160832 , 
9 , 0.215822 , 6.07632 , 5.72385 , -1 , 59.7445 , 0.433521 , 5 , 6.07632 , 0.743683 , 5 , 5.72385 , -nan , 0.972853 , 0.157619 , 0.194492 , 
10 , 0.243038 , 6.33404 , 5.86955 , -1 , 61.4054 , 0.474263 , 5 , 6.33404 , 0.38741 , 5 , 5.86955 , -nan , 0.972057 , 0.161401 , 0.140376 , 
11 , 0.270378 , 6.05447 , 6.10823 , -1 , 61.2675 , 0.615351 , 5 , 6.05447 , 0.453989 , 5 , 6.10823 , -nan , 0.964517 , 0.154523 , 0.151961 , 
12 , 0.287777 , 6.00004 , 6.14648 , -1 , 61.2571 , 0.435686 , 5 , 6.00004 , 0.52452 , 5 , 6.14648 , -nan , 0.972057 , 0.16408 , 0.163339 , 
13 , 0.318772 , 5.98354 , 6.13095 , -1 , 61.0146 , 0.470581 , 5 , 5.98354 , 0.442169 , 5 , 6.13095 , -nan , 0.972057 , 0.164805 , 0.149969 , 
