iteration , time , norm(U) , norm(M) , norm(A) , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , test-rmse , train-rmse , 
1 , 7.9e-05 , 4.8809 , 4.52045 , -1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.889298 , 0.794846 , 1.77296 , 1.99826 , 
2 , 0.002503 , 4.05882 , 4.47376 , -1 , 52.8925 , 10.2462 , 5 , 4.05882 , 10.2296 , 5 , 4.47376 , 0.845602 , 0.987647 , 2.16631 , 1.49656 , 
3 , 0.00486 , 4.42615 , 4.66909 , -1 , 49.873 , 6.24937 , 5 , 4.42615 , 4.39681 , 5 , 4.66909 , 1 , 1 , 1.42092 , 1.04843 , 
4 , 0.006763 , 4.66342 , 4.5285 , -1 , 49.3381 , 3.01257 , 5 , 4.66342 , 3.37848 , 5 , 4.5285 , 1 , 1 , 1.00227 , 0.919033 , 
5 , 0.008197 , 4.43857 , 4.95078 , -1 , 49.9343 , 4.30678 , 5 , 4.43857 , 2.98752 , 5 , 4.95078 , 1 , 0.99847 , 0.922021 , 0.864222 , 
6 , 0.010353 , 4.33549 , 4.68131 , -1 , 49.2588 , 3.42137 , 5 , 4.33549 , 4.1748 , 5 , 4.68131 , 1 , 0.999455 , 1.05359 , 1.02162 , 
7 , 0.011851 , 4.50433 , 4.40834 , -1 , 49.0851 , 3.23512 , 5 , 4.50433 , 4.52172 , 5 , 4.40834 , 1 , 0.99891 , 1.09734 , 1.06322 , 
8 , 0.013176 , 4.77734 , 4.60502 , -1 , 50.0665 , 3.51303 , 5 , 4.77734 , 3.15474 , 5 , 4.60502 , 1 , 0.999015 , 0.736705 , 0.88808 , 
9 , 0.014801 , 4.48076 , 4.62949 , -1 , 49.296 , 4.00768 , 5 , 4.48076 , 3.74479 , 5 , 4.62949 , 1 , 0.999015 , 0.89372 , 0.967572 , 
10 , 0.015981 , 4.45294 , 4.53609 , -1 , 49.1966 , 3.77764 , 5 , 4.45294 , 4.25141 , 5 , 4.53609 , 1 , 0.998365 , 1.05756 , 1.03095 , 
11 , 0.017589 , 4.82788 , 4.37339 , -1 , 49.4752 , 2.94799 , 5 , 4.82788 , 3.46889 , 5 , 4.37339 , 1 , 0.99912 , 0.952245 , 0.931248 , 
12 , 0.019089 , 4.60119 , 4.56439 , -1 , 49.2806 , 4.01388 , 5 , 4.60119 , 3.4527 , 5 , 4.56439 , 1 , 0.99847 , 0.876178 , 0.929073 , 
13 , 0.020563 , 4.54975 , 4.45055 , -1 , 49.2696 , 3.69862 , 5 , 4.54975 , 4.26807 , 5 , 4.45055 , 1 , 0.999015 , 1.0979 , 1.03297 , 
14 , 0.022129 , 4.59359 , 4.52607 , -1 , 49.2757 , 4.14272 , 5 , 4.59359 , 3.67743 , 5 , 4.52607 , 1 , 0.99956 , 0.927914 , 0.958831 , 
15 , 0.023438 , 4.48029 , 4.87352 , -1 , 49.9713 , 4.10369 , 5 , 4.48029 , 3.20226 , 5 , 4.87352 , 1 , 0.975255 , 0.812573 , 0.894744 , 
16 , 0.025067 , 4.19903 , 4.77662 , -1 , 49.3916 , 4.31251 , 5 , 4.19903 , 4.51337 , 5 , 4.77662 , 1 , 0.999015 , 1.0177 , 1.06223 , 
