iteration , time , norm(U) , norm(M) , norm(A) , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , test-rmse , train-rmse , 
1 , 0.00012 , 11.4065 , 6.16127 , -1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.701315 , 0.488083 , 6.02535 , 5.50842 , 
2 , 0.09013 , 42.1324 , 6.06975 , -1 , 49.1405 , 21.5791 , 1 , 42.1324 , 0.938335 , 1 , 6.06975 , 0.952701 , 0.982658 , 4.08758 , 0.336085 , 
3 , 0.156016 , 32.037 , 6.20593 , -1 , 38.6203 , 2.69847 , 1 , 32.037 , 0.377375 , 1 , 6.20593 , 0.992152 , 0.999494 , 4.90519 , 0.19844 , 
4 , 0.234311 , 28.7588 , 6.43991 , -1 , 35.5335 , 1.38505 , 1 , 28.7588 , 0.334786 , 1 , 6.43991 , 0.988251 , 0.999983 , 4.85821 , 0.159405 , 
5 , 0.296145 , 26.3584 , 6.79874 , -1 , 33.2836 , 0.941386 , 1 , 26.3584 , 0.126502 , 1 , 6.79874 , 0.977893 , 0.999458 , 4.77898 , 0.151488 , 
6 , 0.360099 , 24.3433 , 7.12906 , -1 , 31.576 , 0.622677 , 1 , 24.3433 , 0.103567 , 1 , 7.12906 , 0.982776 , 0.999466 , 4.76736 , 0.129286 , 
7 , 0.434903 , 22.8917 , 7.32726 , -1 , 30.3132 , 0.536045 , 1 , 22.8917 , 0.0942123 , 1 , 7.32726 , 0.999829 , 1.0001 , 4.70608 , 0.134679 , 
8 , 0.49911 , 21.8218 , 7.64023 , -1 , 29.5493 , 0.452069 , 1 , 21.8218 , 0.0872277 , 1 , 7.64023 , 1.00491 , 0.999544 , 4.65343 , 0.106188 , 
9 , 0.562067 , 20.7663 , 7.89035 , -1 , 28.7534 , 0.388234 , 1 , 20.7663 , 0.0968083 , 1 , 7.89035 , 1.01657 , 0.999544 , 4.60687 , 0.113422 , 
10 , 0.626091 , 20.0967 , 8.10567 , -1 , 28.3045 , 0.379744 , 1 , 20.0967 , 0.102193 , 1 , 8.10567 , 1.0032 , 0.999951 , 4.54617 , 0.107877 , 
11 , 0.690586 , 19.3692 , 8.25642 , -1 , 27.7092 , 0.230316 , 1 , 19.3692 , 0.0835966 , 1 , 8.25642 , 0.994363 , 0.999992 , 4.42125 , 0.118588 , 
12 , 0.753233 , 18.6716 , 8.40603 , -1 , 27.186 , 0.309872 , 1 , 18.6716 , 0.108343 , 1 , 8.40603 , 0.99641 , 0.999466 , 4.30392 , 0.127547 , 
13 , 0.816895 , 18.1543 , 8.52163 , -1 , 26.7485 , 0.217035 , 1 , 18.1543 , 0.0725388 , 1 , 8.52163 , 0.9962 , 0.999873 , 4.17725 , 0.11604 , 
14 , 0.884073 , 17.6067 , 8.66366 , -1 , 26.3651 , 0.204853 , 1 , 17.6067 , 0.0948102 , 1 , 8.66366 , 0.999691 , 1.0001 , 4.06292 , 0.114879 , 
15 , 0.962672 , 17.1054 , 8.87876 , -1 , 26.0765 , 0.213728 , 1 , 17.1054 , 0.0923757 , 1 , 8.87876 , 1.0073 , 0.999425 , 3.99237 , 0.106558 , 
16 , 1.04144 , 16.6688 , 8.94208 , -1 , 25.6925 , 0.176776 , 1 , 16.6688 , 0.0816221 , 1 , 8.94208 , 1.02526 , 0.999873 , 3.91582 , 0.127767 , 
17 , 1.0967 , 16.3497 , 9.04366 , -1 , 25.4674 , 0.187729 , 1 , 16.3497 , 0.0740172 , 1 , 9.04366 , 1.00795 , 0.999467 , 3.82041 , 0.123147 , 
18 , 1.15645 , 16.0341 , 9.12217 , -1 , 25.2603 , 0.152893 , 1 , 16.0341 , 0.103984 , 1 , 9.12217 , 1.02366 , 0.999873 , 3.74653 , 0.125364 , 
19 , 1.21205 , 15.7612 , 9.25115 , -1 , 25.0752 , 0.188076 , 1 , 15.7612 , 0.0627767 , 1 , 9.25115 , 1.01456 , 0.999905 , 3.64522 , 0.112051 , 
20 , 1.27275 , 15.3834 , 9.33637 , -1 , 24.7997 , 0.159183 , 1 , 15.3834 , 0.0798735 , 1 , 9.33637 , 1.01325 , 0.999425 , 3.53674 , 0.126391 , 
21 , 1.32714 , 15.1469 , 9.42706 , -1 , 24.6456 , 0.174248 , 1 , 15.1469 , 0.0716231 , 1 , 9.42706 , 1.02202 , 0.999905 , 3.45368 , 0.119685 , 
22 , 1.38151 , 14.9109 , 9.50943 , -1 , 24.4906 , 0.145652 , 1 , 14.9109 , 0.0703329 , 1 , 9.50943 , 1.00246 , 0.999983 , 3.358 , 0.118603 , 
23 , 1.43033 , 14.6734 , 9.53519 , -1 , 24.2798 , 0.135656 , 1 , 14.6734 , 0.0711386 , 1 , 9.53519 , 1.0278 , 0.999425 , 3.26165 , 0.130633 , 
24 , 1.48652 , 14.4963 , 9.68478 , -1 , 24.2953 , 0.14401 , 1 , 14.4963 , 0.114206 , 1 , 9.68478 , 1.02742 , 0.999914 , 3.16399 , 0.108259 , 
25 , 1.53617 , 14.1987 , 9.79786 , -1 , 24.0874 , 0.145378 , 1 , 14.1987 , 0.0907702 , 1 , 9.79786 , 1.03489 , 0.999425 , 3.12834 , 0.127399 , 
26 , 1.58455 , 14.0128 , 9.85033 , -1 , 23.9412 , 0.131938 , 1 , 14.0128 , 0.0781287 , 1 , 9.85033 , 1.02339 , 1.00014 , 3.04464 , 0.125003 , 
27 , 1.62817 , 13.8286 , 9.89528 , -1 , 23.8104 , 0.141198 , 1 , 13.8286 , 0.0866036 , 1 , 9.89528 , 1.02936 , 0.998036 , 2.97308 , 0.131505 , 
28 , 1.67277 , 13.6641 , 10.0458 , -1 , 23.7986 , 0.154034 , 1 , 13.6641 , 0.0886696 , 1 , 10.0458 , 1.0255 , 0.99995 , 2.88766 , 0.123155 , 
29 , 1.71406 , 13.48 , 10.0926 , -1 , 23.6513 , 0.114819 , 1 , 13.48 , 0.078582 , 1 , 10.0926 , 1.03353 , 0.999992 , 2.84773 , 0.125365 , 
30 , 1.75687 , 13.3951 , 10.1711 , -1 , 23.7652 , 0.156029 , 1 , 13.3951 , 0.199021 , 1 , 10.1711 , 1.01468 , 0.998626 , 2.80599 , 0.131849 , 
31 , 1.80078 , 13.2681 , 10.2327 , -1 , 23.5781 , 0.120649 , 1 , 13.2681 , 0.0773685 , 1 , 10.2327 , 1.01932 , 0.999951 , 2.81411 , 0.124393 , 
32 , 1.84194 , 13.1401 , 10.3357 , -1 , 23.5703 , 0.113845 , 1 , 13.1401 , 0.094501 , 1 , 10.3357 , 1.01848 , 0.999873 , 2.75436 , 0.108284 , 
33 , 1.87607 , 12.9721 , 10.3723 , -1 , 23.4419 , 0.0963121 , 1 , 12.9721 , 0.0974562 , 1 , 10.3723 , 1.00434 , 0.999951 , 2.68442 , 0.12537 , 
34 , 1.90954 , 12.9151 , 10.3957 , -1 , 23.3679 , 0.0948035 , 1 , 12.9151 , 0.057004 , 1 , 10.3957 , 1.01133 , 0.999664 , 2.62811 , 0.122338 , 
35 , 1.94572 , 12.7752 , 10.4748 , -1 , 23.3275 , 0.124767 , 1 , 12.7752 , 0.0775118 , 1 , 10.4748 , 1.00498 , 0.999873 , 2.5885 , 0.124508 , 
36 , 1.9792 , 12.7013 , 10.5688 , -1 , 23.379 , 0.099175 , 1 , 12.7013 , 0.108852 , 1 , 10.5688 , 0.999443 , 0.999992 , 2.57171 , 0.107958 , 
37 , 2.02104 , 12.5639 , 10.617 , -1 , 23.2576 , 0.10532 , 1 , 12.5639 , 0.0767259 , 1 , 10.617 , 1.00638 , 1.00011 , 2.56439 , 0.123876 , 
38 , 2.06304 , 12.4712 , 10.6859 , -1 , 23.2436 , 0.104011 , 1 , 12.4712 , 0.0864509 , 1 , 10.6859 , 1.01024 , 0.999939 , 2.51999 , 0.122071 , 
39 , 2.09221 , 12.3994 , 10.7256 , -1 , 23.2741 , 0.0923561 , 1 , 12.3994 , 0.149096 , 1 , 10.7256 , 0.998468 , 0.999664 , 2.46749 , 0.135368 , 
40 , 2.12096 , 12.3084 , 10.8198 , -1 , 23.2078 , 0.0958291 , 1 , 12.3084 , 0.0795787 , 1 , 10.8198 , 1.01338 , 0.999535 , 2.42368 , 0.126158 , 
