iteration , time , norm(U) , norm(M) , norm(A) , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , test-rmse , train-rmse , 
1 , 0.00013 , 13.0169 , 8.54985 , -1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -nan , -nan , 5.64342 , 4.38644 , 
2 , 0.138789 , 20.1194 , 8.40199 , -1 , 143.879 , 155.528 , 5 , 20.1194 , 1.27203 , 5 , 8.40199 , -nan , -nan , 5.18153 , 0.254754 , 
3 , 0.223582 , 18.3667 , 8.83068 , -1 , 136.59 , 2.29709 , 5 , 18.3667 , 0.603395 , 5 , 8.83068 , -nan , -nan , 5.18153 , 0.162734 , 
4 , 0.302792 , 17.2068 , 9.12461 , -1 , 132.326 , 1.69121 , 5 , 17.2068 , 0.668783 , 5 , 9.12461 , -nan , -nan , 5.18153 , 0.170647 , 
5 , 0.362751 , 16.3923 , 9.48289 , -1 , 129.845 , 1.4574 , 5 , 16.3923 , 0.469223 , 5 , 9.48289 , -nan , -nan , 5.18153 , 0.154725 , 
6 , 0.431774 , 15.6499 , 9.65434 , -1 , 127.129 , 1.36888 , 5 , 15.6499 , 0.608261 , 5 , 9.65434 , -nan , -nan , 5.18153 , 0.176164 , 
7 , 0.490467 , 15.1416 , 9.89863 , -1 , 125.803 , 1.23643 , 5 , 15.1416 , 0.602043 , 5 , 9.89863 , -nan , -nan , 5.18153 , 0.175261 , 
8 , 0.556019 , 14.6966 , 10.1168 , -1 , 124.73 , 1.07264 , 5 , 14.6966 , 0.662943 , 5 , 10.1168 , -nan , -nan , 5.18153 , 0.183912 , 
9 , 0.630209 , 14.3556 , 10.1517 , -1 , 123.479 , 0.926434 , 5 , 14.3556 , 0.942564 , 5 , 10.1517 , -nan , -nan , 5.18153 , 0.188898 , 
10 , 0.684476 , 14.0895 , 10.3227 , -1 , 122.549 , 1.02397 , 5 , 14.0895 , 0.487654 , 5 , 10.3227 , -nan , -nan , 5.18153 , 0.175642 , 
11 , 0.730794 , 13.803 , 10.495 , -1 , 122.071 , 0.977586 , 5 , 13.803 , 0.580959 , 5 , 10.495 , -nan , -nan , 5.18153 , 0.184229 , 
12 , 0.784726 , 13.5723 , 10.5733 , -1 , 121.361 , 0.790936 , 5 , 13.5723 , 0.633093 , 5 , 10.5733 , -nan , -nan , 5.18153 , 0.179724 , 
13 , 0.838817 , 13.2809 , 10.8709 , -1 , 121.478 , 1.24274 , 5 , 13.2809 , 0.718817 , 5 , 10.8709 , -nan , -nan , 5.18153 , 0.197166 , 
14 , 0.885479 , 13.0587 , 11.0353 , -1 , 120.946 , 0.874923 , 5 , 13.0587 , 0.475658 , 5 , 11.0353 , -nan , -nan , 5.18153 , 0.177664 , 
15 , 0.929522 , 12.9532 , 11.144 , -1 , 120.912 , 0.717411 , 5 , 12.9532 , 0.426412 , 5 , 11.144 , -nan , -nan , 5.18153 , 0.180244 , 
16 , 0.972835 , 12.75 , 11.2024 , -1 , 120.475 , 0.797503 , 5 , 12.75 , 0.713046 , 5 , 11.2024 , -nan , -nan , 5.18153 , 0.190735 , 
17 , 1.01612 , 12.5851 , 11.4785 , -1 , 121.065 , 0.792242 , 5 , 12.5851 , 0.747134 , 5 , 11.4785 , -nan , -nan , 5.18153 , 0.154827 , 
