iteration , time , norm(U) , norm(M) , norm(A) , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@1 , train-NDCG@1 , test-rmse , train-rmse , 
1 , 9.3e-05 , 13.0169 , 8.54985 , -1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -nan , 0.022215 , 3.56909 , 2.95462 , 
2 , 0.054301 , 5.90115 , 6.25414 , -1 , 61.6053 , 13.8545 , 5 , 5.90115 , 0.828775 , 5 , 6.25414 , -nan , 0.945576 , 0.791609 , 0.204076 , 
3 , 0.092065 , 6.00943 , 6.19094 , -1 , 61.4352 , 0.488369 , 5 , 6.00943 , 0.433329 , 5 , 6.19094 , -nan , 0.963354 , 0.2968 , 0.147565 , 
4 , 0.118995 , 5.97511 , 6.10879 , -1 , 60.8971 , 0.446559 , 5 , 5.97511 , 0.477564 , 5 , 6.10879 , -nan , 0.960108 , 0.207684 , 0.153407 , 
5 , 0.135212 , 5.96275 , 6.15422 , -1 , 61.2537 , 0.462218 , 5 , 5.96275 , 0.668867 , 5 , 6.15422 , -nan , 0.95667 , 0.289252 , 0.183334 , 
6 , 0.170374 , 6.08366 , 6.12057 , -1 , 61.4522 , 0.496563 , 5 , 6.08366 , 0.431122 , 5 , 6.12057 , -nan , 0.972853 , 0.273092 , 0.147188 , 
7 , 0.198219 , 5.98982 , 6.13357 , -1 , 61.0544 , 0.446598 , 5 , 5.98982 , 0.437478 , 5 , 6.13357 , -nan , 0.964517 , 0.21255 , 0.148269 , 
8 , 0.222441 , 6.03067 , 6.02054 , -1 , 60.7494 , 0.455578 , 5 , 6.03067 , 0.493329 , 5 , 6.02054 , -nan , 0.963354 , 0.299594 , 0.15745 , 
9 , 0.245552 , 6.18882 , 5.88055 , -1 , 60.8455 , 0.438992 , 5 , 6.18882 , 0.498659 , 5 , 5.88055 , -nan , 0.965313 , 0.276597 , 0.158298 , 
10 , 0.262107 , 6.25242 , 5.93264 , -1 , 61.3725 , 0.407238 , 5 , 6.25242 , 0.447217 , 5 , 5.93264 , -nan , 0.958945 , 0.303598 , 0.149911 , 
